"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stflife"
"ESS3e03_7",3,"3.7","01.12.2018",2702,"BG",0.384,0.27106237,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2704,"BG",0.768,0.94404334,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2707,"BG",1.5359,1.2390388,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",2713,"BG",0.768,0.74114263,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",2714,"BG",0.768,0.53247696,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2719,"BG",1.5359,1.0841789,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",2803,"BG",0.768,0.5576022,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",2804,"BG",1.1519,0.67975503,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2806,"BG",1.5359,1.1151319,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",2810,"BG",1.5359,1.0841789,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2815,"BG",0.768,0.53247696,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",2818,"BG",0.768,0.54212475,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",2819,"BG",0.384,0.6296403,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2901,"BG",0.384,0.2788011,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2902,"BG",0.384,0.30977985,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2905,"BG",0.768,0.46915457,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",2906,"BG",1.5359,0.90635973,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",2911,"BG",1.5359,0.90635973,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",2914,"BG",0.768,0.54212475,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",2916,"BG",1.5359,1.6647274,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",3004,"BG",0.768,0.83241796,0.4767642,,,,,3
